GAME STATS
Black vs. White
9/20/26, 8:00 AM
Regular Season

,1,2,Total
Black,31,24,55
White,36,43,79

VISITORS:  Black
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aiden Brown,7,3,5,60%,0,5,0%,3,10,30%,2,6,33%,8,2,0,4,1,0,0,0,1,0,0,2,31%,0,0,
Austin Hamlin,2,0,0,0%,0,4,0%,0,4,0%,0,0,0%,0,1,1,5,0,0,0,1,1,0,0,3,0%,0,0,
Brody Snow,5,5,8,63%,0,6,0%,5,14,36%,0,0,0%,10,1,0,5,1,0,0,1,3,0,0,5,35%,0,1,
Drew Fisher,4,2,9,22%,0,0,0%,2,9,22%,2,2,100%,6,1,2,6,2,1,0,0,0,0,0,9,30%,0,0,
Harvey Merrill,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Jordan Sanderson,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Matt Riordan,2,12,17,71%,2,9,22%,14,26,54%,1,2,50%,31,3,1,11,2,3,0,0,4,0,0,32,57%,0,0,
Nick Lynn,00,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,22,39,56%,2,24,8%,24,63,38%,5,10,50%,55,8,4,31,6,4,0,2,9,0,0,51,40%,0,1,

HOME:  White
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Aaron West,0,6,10,60%,0,0,0%,6,10,60%,0,0,0%,12,1,5,3,4,0,0,2,0,0,0,19,60%,0,0,
Adam Gawrys,2,4,9,44%,1,6,17%,5,15,33%,1,1,100%,12,1,4,10,1,0,0,0,1,0,0,16,38%,0,0,
Aid Semic,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Andy Bousono,3,3,5,60%,1,4,25%,4,9,44%,1,2,50%,10,3,0,5,0,0,0,0,1,0,0,11,50%,0,0,
Asko Mostarlic,7,4,7,57%,4,13,31%,8,20,40%,4,4,100%,24,6,3,8,1,1,0,2,0,0,0,32,55%,0,0,
Joe Ruggles,1,1,3,33%,4,9,44%,5,12,42%,0,0,0%,14,4,2,8,0,0,0,0,2,0,0,19,58%,0,0,
Mayceo Edwards,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Owen Spino,4,2,5,40%,1,5,20%,3,10,30%,0,0,0%,7,0,0,2,2,0,0,1,0,0,0,3,35%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,20,39,51%,11,37,30%,31,76,41%,6,7,86%,79,15,14,36,8,1,0,5,4,0,0,100,49%,0,0,

