GAME STATS
Blue vs. Red
9/20/26, 11:20 AM
Regular Season

,1,2,Total
Blue,29,28,57
Red,42,36,78

VISITORS:  Blue
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Cody Jarvis,7,0,0,0%,0,3,0%,0,3,0%,0,0,0%,0,0,0,1,1,0,0,0,1,0,0,-3,0%,0,0,
Eliezer Perez,5,0,0,0%,0,1,0%,0,1,0%,0,0,0%,0,0,0,5,1,0,0,0,3,0,0,1,0%,0,0,
John Helsel,1,5,11,45%,0,0,0%,5,11,45%,1,1,100%,11,0,1,8,0,0,0,0,0,0,0,14,48%,0,0,
Kolby Bradford,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Kyle Picard,3,7,14,50%,1,4,25%,8,18,44%,1,3,33%,18,3,1,4,0,0,0,0,0,0,0,14,46%,0,0,
Mark Nigolian,0,1,5,20%,0,0,0%,1,5,20%,0,0,0%,2,1,1,1,0,0,0,0,0,0,0,1,20%,0,0,
Will Ewald,6,2,5,40%,3,10,30%,5,15,33%,0,0,0%,13,0,2,10,3,0,0,1,5,0,0,11,43%,0,0,
Will Oboh,4,3,8,38%,1,2,50%,4,10,40%,4,6,67%,13,2,3,5,0,0,0,0,2,0,0,13,51%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,18,43,42%,5,20,25%,23,63,37%,6,10,60%,57,6,8,34,5,0,0,1,11,0,0,51,42%,0,0,

HOME:  Red
Player Name,No.,2FGM,2FGA,2FG%,3FGM,3FGA,3FG%,FGM,FGA,FG%,FTM,FTA,FT%,Points,Assists,Off Reb,Def Reb,Fouls,Block,Deflection,Steal,T-over,Chrg Tkn,Foul Rcd,Eff,TS%,Charge  Taken,Airball
Alex Philo ,0,1,1,100%,1,8,13%,2,9,22%,0,0,0%,5,0,1,5,2,0,0,1,0,0,0,5,27%,0,0,
Bela Dobkowski,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Brody Lathrop,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Cam Perta,6,0,0,0%,10,17,59%,10,17,59%,0,0,0%,30,2,0,6,1,0,0,0,1,0,0,30,88%,0,0,
Drew Pelkey,7,6,14,43%,3,6,50%,9,20,45%,1,2,50%,22,2,3,4,0,0,1,2,4,0,0,17,52%,0,1,
Dylan Mackie,3,1,3,33%,0,4,0%,1,7,14%,1,2,50%,3,4,0,2,2,0,0,1,0,0,0,3,19%,0,0,
Hayden Bernhardt,0,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Logan Letourneau,1,6,8,75%,1,11,9%,7,19,37%,3,4,75%,18,5,5,11,2,0,0,2,1,0,0,27,43%,0,0,
Team Events,,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,
Totals,,14,26,54%,15,46,33%,29,72,40%,5,8,63%,78,13,9,28,7,0,1,6,6,0,0,82,51%,0,1,

